,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 14:22:14,復興南路二段235號前,24,1
1,YouBike2.0_復興南路二段273號前,21,1,大安區,2023-05-27 14:21:15,復興南路二段273號西側,20,1
2,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 14:22:14,和平東路二段96巷7號,14,1
3,YouBike2.0_和平公園東側,11,0,大安區,2023-05-27 13:57:04,和平東路二段118巷33號,11,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 14:11:03,復興南路二段368號,16,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 14:22:14,復興南路二段342號,10,1
8,YouBike2.0_新生南路三段66號前,16,0,大安區,2023-05-27 14:21:15,新生南路三段66號東側,16,1
9,YouBike2.0_新生南路三段82號前,20,0,大安區,2023-05-27 14:21:03,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,1,大安區,2023-05-27 14:21:03,辛亥路一段30號,7,1
11,YouBike2.0_和平復興路口西北側,9,3,大安區,2023-05-27 14:21:15,復興南路二段236號,5,1
13,YouBike2.0_大安運動中心停車場,14,4,大安區,2023-05-27 13:56:15,敦南街76巷28號,10,1
14,YouBike2.0_羅斯福路三段245號前,8,4,大安區,2023-05-27 14:17:33,羅斯福路三段245號,4,1
15,YouBike2.0_溫州公園,5,2,大安區,2023-05-27 14:08:14,羅斯福路三段283巷11號,3,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 14:09:14,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,3,大安區,2023-05-27 14:21:15,羅斯福路四段21號旁天橋下,3,1
19,YouBike2.0_捷運公館站(2號出口),99,1,大安區,2023-05-27 14:22:14,捷運公館站(2號出口)外側,93,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-27 13:53:04,羅斯福路四段113巷基隆路四段41巷口,15,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,1,大安區,2023-05-27 14:14:14,基隆路三段155巷57號西側,19,1
26,YouBike2.0_臺大環研大樓,15,4,大安區,2023-05-27 14:06:16,芳蘭路/基隆路三段155巷口,11,1
28,YouBike2.0_臺大男七舍前,20,0,大安區,2023-05-27 14:15:04,長興街/長興街80巷口西側,20,1
32,YouBike2.0_臺大土木研究大樓前,24,3,大安區,2023-05-27 14:22:14,辛亥路三段188號,20,1
34,YouBike2.0_臺大國青大樓宿舍前,20,1,大安區,2023-05-27 14:22:14,辛亥路三段30號西北側,19,1
38,YouBike2.0_辛亥新生路口東南側,41,1,大安區,2023-05-27 14:22:14,辛亥新生路口東南側,39,1
40,YouBike2.0_國北教大側門南側,25,3,大安區,2023-05-27 14:17:33,敦南街51號,21,1
41,YouBike2.0_和平實小東北側,13,4,大安區,2023-05-27 13:25:15,敦南街73號,9,1
42,YouBike2.0_大安區健康服務中心,15,0,大安區,2023-05-27 13:07:04,辛亥路三段15號,15,1
43,YouBike2.0_辛亥泰順街口,20,4,大安區,2023-05-27 14:22:14,辛亥泰順街口東南側,14,1
46,YouBike2.0_臥龍公園,14,2,大安區,2023-05-27 14:22:14,辛亥路三段223號西側,12,1
49,YouBike2.0_捷運六張犁站,64,3,大安區,2023-05-27 14:22:14,和平東路三段410號,61,1
50,YouBike2.0_喬治工商,26,4,大安區,2023-05-27 14:22:14,基隆路二段166號,21,1
51,YouBike2.0_法治公園,15,0,大安區,2023-05-27 12:57:04,通化街189號西側,14,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,2,大安區,2023-05-27 14:22:14,辛亥路一段/羅斯福路三段口北側(辛亥路側),13,1
54,YouBike2.0_和平龍泉街口,34,0,大安區,2023-05-27 14:21:15,和平東路一段/龍泉街口西南側,33,1
55,YouBike2.0_和平泰順街口,9,3,大安區,2023-05-27 14:19:14,和平東路一段/泰順街口東南側,6,1
58,YouBike2.0_捷運古亭站(5號出口),14,1,大安區,2023-05-27 14:22:14,和平東路一段19號前,13,1
60,YouBike2.0_新生和平路口東北側,38,0,大安區,2023-05-27 14:10:09,新生南路二段與和平東路二段口東北側,37,1
63,YouBike2.0_捷運東門站(3號出口),15,3,大安區,2023-05-27 14:21:15,信義路二段128號前,12,1
64,YouBike2.0_金甌女中,12,4,大安區,2023-05-27 14:17:33,信義路二段與杭州南路二段東南側,7,1
67,YouBike2.0_敦化南路二段293巷口南側,14,3,大安區,2023-05-27 14:06:16,敦化南路二段293巷口南側,11,1
68,YouBike2.0_敦化基隆路口,29,0,大安區,2023-05-27 14:21:03,敦化南路二段218號,27,1
69,YouBike2.0_安和路二段181巷口,17,0,大安區,2023-05-27 14:03:04,安和路二段185號,17,1
70,YouBike2.0_臨江街夜市(通化街101巷口),30,2,大安區,2023-05-27 14:21:15,通化街111號,27,1
71,YouBike2.0_臨江街夜市(基隆路),17,2,大安區,2023-05-27 14:21:15,基隆路二段108號,14,1
72,YouBike2.0_台北科技大學億光大樓,46,0,大安區,2023-05-27 14:21:15,忠孝東路三段81號,45,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,0,大安區,2023-05-27 14:21:15,信義路4段6號(前),11,1
81,YouBike2.0_信義大安路口(信維大樓),12,3,大安區,2023-05-27 14:18:13,信義路四段74號(前),8,1
83,YouBike2.0_仁愛安和路口,25,3,大安區,2023-05-27 14:22:14,仁愛路四段258號前,22,1
84,YouBike2.0_信義敦化路口,46,2,大安區,2023-05-27 14:21:15,信義路四段155號前,44,1
85,YouBike2.0_仁愛國中,25,0,大安區,2023-05-27 14:17:24,安和路一段75號(對面),23,1
86,YouBike2.0_捷運信義安和站(2號出口),26,2,大安區,2023-05-27 14:21:15,信義路四段188號前,23,1
87,YouBike2.0_八德市場,30,1,大安區,2023-05-27 14:14:14,市民大道三段170號,28,1
88,YouBike2.0_昌隆公園,16,1,大安區,2023-05-27 14:17:24,市民大道三段206號西側,14,1
90,YouBike2.0_信義延吉街口,15,2,大安區,2023-05-27 14:18:13,信義路四段353號,13,1
91,YouBike2.0_光信公園(光復南路456巷),15,0,大安區,2023-05-27 14:21:03,延吉街249號,14,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,1,大安區,2023-05-27 14:17:24,新生南路一段101號,14,1
96,YouBike2.0_大安高工,23,1,大安區,2023-05-27 14:14:04,復興南路二段52號(前),20,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,1,大安區,2023-05-27 14:04:19,忠孝東路三段與10巷口,22,1
99,YouBike2.0_敦化市民路口,23,4,大安區,2023-05-27 14:21:15,敦化南路1段158號(前),16,1
100,YouBike2.0_捷運大安森林公園站(5號出口),15,1,大安區,2023-05-27 14:21:15,捷運大安森林公園站(5號出口)東側,14,1
102,YouBike2.0_東豐公園,19,0,大安區,2023-05-27 13:58:04,東豐街24號(旁公園路側),18,1
103,YouBike2.0_德安公園(四維路66巷),14,3,大安區,2023-05-27 14:22:14,四維路66巷6號北側,11,1
107,YouBike2.0_瑞安街208巷,15,4,大安區,2023-05-27 14:05:16,瑞安街208巷39號對面,11,1
108,YouBike2.0_樂利路21巷口,17,1,大安區,2023-05-27 14:14:14,樂利路25號,16,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,1,大安區,2023-05-27 14:21:15,和平東路二段134號前,45,1
111,YouBike2.0_仁愛醫院,30,1,大安區,2023-05-27 14:21:15,仁愛路四段/大安路一段口(西南側),29,1
115,YouBike2.0_捷運信義安和站(1號出口),33,2,大安區,2023-05-27 14:22:14,信義路四段225號前,30,1
116,YouBike2.0_敦化南路二段103巷口,24,0,大安區,2023-05-27 14:21:15,敦化南路二段99號前,24,1
119,YouBike2.0_芳蘭山莊,16,2,大安區,2023-05-27 13:42:14,基隆路三段155巷148號,14,1
121,YouBike2.0_捷運東門站(5號出口),28,4,大安區,2023-05-27 14:22:14,信義路二段178號前,23,1
124,YouBike2.0_臺北科技大學(電機工程系),16,2,大安區,2023-05-27 14:16:16,忠孝東路三段100號對側,14,1
126,YouBike2.0_新生南路三段94巷口,15,1,大安區,2023-05-27 14:21:15,新生南路三段94號前,13,1
127,YouBike2.0_辛亥新生路口西北側,12,3,大安區,2023-05-27 14:17:33,辛亥路一段/新生南路三段(西北側),8,1
128,YouBike2.0_捷運大安站(6號出口),19,0,大安區,2023-05-27 14:19:04,復興南路一段303號前,19,1
129,YouBike2.0_臥龍街195巷口,14,1,大安區,2023-05-27 14:15:04,臥龍街/臥龍街195巷(南側),12,1
130,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 13:46:04,辛亥路三段與辛亥路三段157巷口西北側,19,1
131,YouBike2.0_臥龍基隆路口,16,1,大安區,2023-05-27 14:19:04,臥龍街與基隆路二段口東北側,15,1
132,YouBike2.0_敦親公園,20,1,大安區,2023-05-27 14:21:15,和平東路二段96巷8之1號(前方),19,1
135,YouBike2.0_基隆長興路口,43,3,大安區,2023-05-27 14:16:16,基隆路/長興街(東南側),40,1
136,YouBike2.0_仁愛路四段122巷口,16,3,大安區,2023-05-27 14:11:14,仁愛路四段118號前,13,1
138,YouBike2.0_忠孝東路四段49巷口,15,4,大安區,2023-05-27 14:21:15,忠孝東路四段55號前,10,1
140,YouBike2.0_和平新生路口西南側,13,0,大安區,2023-05-27 14:16:04,新生南路三段2號前,13,1
142,YouBike2.0_信義路三段134巷口,19,1,大安區,2023-05-27 14:17:33,信義路三段/信義路三段134巷口,18,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,1,大安區,2023-05-27 14:17:33,仁愛路四段110號前,11,1
144,YouBike2.0_臺北遠企購物中心,33,1,大安區,2023-05-27 14:21:15,敦化南路二段201號前,31,1
145,YouBike2.0_外交部外交及國際事務學院,17,4,大安區,2023-05-27 14:21:15,敦化南路一段280號,13,1
146,YouBike2.0_四維路170巷口,22,1,大安區,2023-05-27 14:14:14,敦化南路二段92號對側中央分隔島,21,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,1,大安區,2023-05-27 14:22:14,羅斯福路三段201號旁,29,1
151,YouBike2.0_敦化南路二段81巷,40,4,大安區,2023-05-27 14:13:14,敦化南路二段與敦化南路二段81巷口西北側,35,1
152,YouBike2.0_原臺北刑務所官舍,23,1,大安區,2023-05-27 14:14:14,金華街78號對側,22,1
158,YouBike2.0_捷運大安站(5號出口),19,0,大安區,2023-05-27 14:12:04,復興南路二段/信義路四段(東南側),16,1
159,YouBike2.0_臨江公園,13,1,大安區,2023-05-27 14:21:03,通化街143巷33號對側,11,1
164,YouBike2.0_羅斯福浦城街口,15,4,大安區,2023-05-27 14:17:34,羅斯福路三段117號前,11,1
168,YouBike2.0_民族延平路口,23,2,大同區,2023-05-27 14:21:15,延平北路三段123號北側,21,1
169,YouBike2.0_重慶酒泉街口,30,0,大同區,2023-05-27 14:14:04,重慶北路三段260號前,30,1
175,YouBike2.0_重慶國中,37,4,大同區,2023-05-27 13:40:21,敦煌路19號前,33,1
177,YouBike2.0_台北數位產業園區,24,4,大同區,2023-05-27 14:22:14,承德路三段287號前方,20,1
181,YouBike2.0_大龍老人住宅,14,3,大同區,2023-05-27 13:55:23,民族西路82號前方,11,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 14:19:04,民權西路237號旁,16,1
185,YouBike2.0_捷運民權西路站(2號出口),25,3,大同區,2023-05-27 14:17:34,捷運民權西路站(2號出口)西側,22,1
188,YouBike2.0_朝陽公園,10,0,大同區,2023-05-27 13:59:04,重慶北路二段62-1號旁,10,1
190,YouBike2.0_大龍公園,18,1,大同區,2023-05-27 14:19:14,大龍街217號對側,17,1
192,YouBike2.0_圓山線形公園,14,4,大同區,2023-05-27 14:13:14,玉門街/民族西路(西北側),10,1
194,YouBike2.0_重慶民族路口,20,1,大同區,2023-05-27 14:21:15,重慶北路三段162號前,18,1
198,YouBike2.0_聯合醫院中興院區,27,2,大同區,2023-05-27 14:17:24,長安西路299號(對面),25,1
200,YouBike2.0_迪化休閒運動公園,15,1,大同區,2023-05-27 14:18:13,延平北路四段200號(南側),14,1
201,YouBike2.0_大同運動中心,16,2,大同區,2023-05-27 14:07:14,大龍街51號(旁),14,1
202,YouBike2.0_重慶保安街口(家樂福重慶店),20,2,大同區,2023-05-27 14:19:14,重慶北路二段171號(旁),18,1
209,YouBike2.0_太原五原路口,24,2,大同區,2023-05-27 14:19:14,太原路 / 五原路口(東南側),22,1
213,YouBike2.0_重慶長安路口,15,2,大同區,2023-05-27 14:21:15,長安西路244號(重慶路側),13,1
220,YouBike2.0_雙蓮國小,20,4,大同區,2023-05-27 14:09:14,民權西路102巷4弄25號對側人行道,16,1
221,YouBike2.0_寧夏涼州街口,15,3,大同區,2023-05-27 14:07:14,寧夏路141號對側,12,1
223,YouBike2.0_劍潭抽水站,17,3,士林區,2023-05-27 13:59:15,通河東街325巷/通河東街口,10,1
224,YouBike2.0_通河東街大南路口,15,4,士林區,2023-05-27 14:17:34,通河東街1段192號(旁),10,1
225,YouBike2.0_福港街停車場,22,3,士林區,2023-05-27 14:19:14,華齡街175號(旁),19,1
226,YouBike2.0_百齡國小,50,0,士林區,2023-05-27 14:21:15,前港街104號(對面),50,1
227,YouBike2.0_雨聲街165巷口,15,1,士林區,2023-05-27 13:38:03,雨聲街/雨聲街165巷(西北側),14,1
228,YouBike2.0_天和公園,13,2,士林區,2023-05-27 14:17:34,天母東路69巷30號(前方路側),8,1
231,YouBike2.0_臺北市立大學(天母校區),23,4,士林區,2023-05-27 14:22:14,士東路276號至280號對面人行道,19,1
236,YouBike2.0_明勝公園,14,1,士林區,2023-05-27 13:21:17,承德路4段6巷71號(對面),11,1
237,YouBike2.0_劍潭海外青年活動中心,23,1,士林區,2023-05-27 14:01:16,中山北路4段/通河街口,22,1
240,YouBike2.0_忠誠公園,14,1,士林區,2023-05-27 14:15:15,忠誠路一段18號(對面),11,1
241,YouBike2.0_芝山抽水站,21,4,士林區,2023-05-27 13:41:16,至誠路二段47-49號(前),17,1
244,YouBike2.0_前港公園(福德宮),18,2,士林區,2023-05-27 13:49:15,後港街134巷/後港街口,16,1
245,YouBike2.0_華齡街185巷口,12,3,士林區,2023-05-27 14:14:14,華齡街188號(前),8,1
246,YouBike2.0_前港公園(前港街),19,1,士林區,2023-05-27 14:21:15,前港街48號(對面),18,1
249,YouBike2.0_臺灣戲曲中心,14,3,士林區,2023-05-27 14:13:14,文林路751號(南側),10,1
252,YouBike2.0_志成公園,23,4,士林區,2023-05-27 14:22:14,中正路/雨農路口(西北側),19,1
253,YouBike2.0_福林國小,14,2,士林區,2023-05-27 14:08:15,福志路50號(對面),11,1
255,YouBike2.0_士林運動中心,30,3,士林區,2023-05-27 14:16:16,士商路1號(前),27,1
259,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
262,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
265,YouBike2.0_聯合醫院陽明院區,15,1,士林區,2023-05-27 14:14:04,雨聲街105號(南側),13,1
270,YouBike2.0_梅林新村,15,2,士林區,2023-05-27 11:54:04,至善路一段/至善路一段138巷(北側),13,1
272,YouBike2.0_重慶北路四段190巷口,13,2,士林區,2023-05-27 13:12:14,重慶北路四段198號(前),11,1
273,YouBike2.0_重慶北葫東街口,15,2,士林區,2023-05-27 13:41:16,重慶北路四段177號(前),13,1
276,YouBike2.0_社正公園,15,1,士林區,2023-05-27 14:19:14,社中街39號(對面),14,1
280,YouBike2.0_社子公園,14,0,士林區,2023-05-27 14:09:04,永平街20巷37弄/永平街20巷11弄(社子公園南側),14,1
281,YouBike2.0_國立故宮博物院,17,0,士林區,2023-05-27 14:21:15,力行街8號(對面),16,1
282,YouBike2.0_泰北高中,16,4,士林區,2023-05-27 14:08:15,福林路240號(前),12,1
283,YouBike2.0_後港公園,15,1,士林區,2023-05-27 14:13:14,通河東街二段26號(旁公園),14,1
286,YouBike2.0_延平北路八段133巷口,15,3,士林區,2023-05-27 06:03:14,延平北路八段133巷42號(對面),12,1
289,YouBike2.0_福安國中,11,3,士林區,2023-05-27 12:35:15,延平北路七段250號(前),8,1
291,YouBike2.0_聖山綠地,15,0,士林區,2023-05-27 13:59:04,忠義街94號(旁),15,1
293,YouBike2.0_士林新天地,29,1,士林區,2023-05-27 14:21:15,大南路325號前方,28,1
294,YouBike2.0_蘭雅國小,27,2,士林區,2023-05-27 14:22:14,礦溪街與中山北路六段195巷口,24,1
296,YouBike2.0_福林公園(中正路),27,4,士林區,2023-05-27 14:17:34,中正路/志成街口(南側),22,1
302,YouBike2.0_通河街76巷/承德路四段10巷口,14,2,士林區,2023-05-27 14:22:14,承德路四段10巷37號(旁),11,1
303,YouBike2.0_芝山聖佑宮,15,3,士林區,2023-05-27 13:39:14,雨聲街90號旁,10,1
304,YouBike2.0_至誠雨聲街口,9,2,士林區,2023-05-27 14:19:14,至誠路二段與雨聲街口東北側,6,1
305,YouBike2.0_捷運線型公園(後街),13,2,士林區,2023-05-27 14:14:14,後街15號旁,11,1
306,YouBike2.0_天母公園,12,0,士林區,2023-05-27 14:07:04,中山北路七段141巷30號對側,12,1
307,YouBike2.0_基河文林路口,16,0,士林區,2023-05-27 14:21:03,基河路3-1號對側人行道,16,1
308,YouBike2.0_文林福華路口,19,2,士林區,2023-05-27 14:10:20,文林路 / 福華路口(東側),16,1
309,YouBike2.0_劍潭海外青年活動中心_1,24,3,士林區,2023-05-27 14:02:14,通河街 / 通河街2巷(南側),21,1
314,YouBike2.0_葫蘆國小(延平北路五段285巷),15,2,士林區,2023-05-27 14:17:34,環河北路三段/延平北路五段285巷,13,1
315,YouBike2.0_社子市場,15,2,士林區,2023-05-27 14:01:16,延平北路六段67號旁,13,1
318,YouBike2.0_文林路101巷口,7,3,士林區,2023-05-27 14:21:15,文林路100號前,4,1
322,YouBike2.0_中山福國路口,14,4,士林區,2023-05-27 12:45:15,中山北路五段837號前,8,1
325,YouBike2.0_中山北路五段698巷口,15,4,士林區,2023-05-27 14:16:16,中山北路五段692號前,11,1
329,YouBike2.0_海光公園南側,12,4,士林區,2023-05-27 14:09:14,葫蘆街79號對側公園,8,1
330,YouBike2.0_士商路40巷口,15,0,士林區,2023-05-27 14:12:04,士商路40巷2號旁,15,1
333,YouBike2.0_美崙公園,13,2,士林區,2023-05-27 14:10:09,美崙街118號斜對面人行道,11,1
334,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,3,士林區,2023-05-27 14:17:34,忠誠路二段207巷/士東路299巷口,14,1
336,YouBike2.0_美崙公園(東北側),15,1,士林區,2023-05-27 13:28:04,文林路587巷115號對側,14,1
337,YouBike2.0_台北花木批發市場,32,2,文山區,2023-05-27 14:18:13,萬盛街/興隆路一段(西北側),29,1
338,YouBike2.0_捷運萬隆站(4號出口),21,0,文山區,2023-05-27 14:22:14,羅斯福路5段210號(前),21,1
339,YouBike2.0_捷運萬隆站(1號出口),34,3,文山區,2023-05-27 14:21:15,羅斯福路五段250號(前),31,1
340,YouBike2.0_萬和二號公園,26,4,文山區,2023-05-27 14:03:15,萬隆街255號(對面),22,1
347,YouBike2.0_興福國中,25,1,文山區,2023-05-27 13:57:04,福興路95巷/福興路63巷4弄口,23,1
349,YouBike2.0_景美運動公園,11,2,文山區,2023-05-27 13:58:15,景豐街79號(旁公園),8,1
350,YouBike2.0_景美醫院,18,0,文山區,2023-05-27 14:08:04,羅斯福路六段280號(前),18,1
355,YouBike2.0_捷運動物園站,18,0,文山區,2023-05-27 14:08:04,新光路二段30號(對面),17,1
356,YouBike2.0_捷運木柵站,31,4,文山區,2023-05-27 14:11:14,木柵路四段82巷18號前(捷運橋樑下),27,1
357,YouBike2.0_捷運萬芳社區站,31,0,文山區,2023-05-27 12:14:04,萬芳路60號(西側廣場),31,1
360,YouBike2.0_興豐公園,21,4,文山區,2023-05-27 14:15:15,興隆路二段123巷/興隆路二段(西北側),16,1
363,YouBike2.0_和興路26巷口,15,4,文山區,2023-05-27 14:19:14,和興路44巷 / 和興路26巷口,10,1
366,YouBike2.0_臺北市立景美女中,25,0,文山區,2023-05-27 14:22:14,木新路三段/一壽街(西北側),24,1
370,YouBike2.0_老泉街籃球場,14,2,文山區,2023-05-27 13:24:14,老泉街26巷老泉街口(籃球場前),12,1
372,YouBike2.0_木柵公園,25,0,文山區,2023-05-27 13:52:04,興隆路四段50號(前),25,1
377,YouBike2.0_指南路3段2巷,13,0,文山區,2023-05-27 12:12:04,指南路三段4號(旁),13,1
378,YouBike2.0_萊茵公園,14,2,文山區,2023-05-27 12:34:13,忠順街二段87巷25弄29號,12,1
380,YouBike2.0_秀明路一段185巷口,20,2,文山區,2023-05-27 13:43:14,秀明路一段與秀明路一段185巷口,18,1
381,YouBike2.0_秀明路一段129巷口,22,1,文山區,2023-05-27 13:42:04,秀明路一段129巷與秀明路一段路口,21,1
382,YouBike2.0_恆光橋(老泉街),13,1,文山區,2023-05-27 14:03:15,老泉街/恆光街口,12,1
383,YouBike2.0_萬有3號公園,14,3,文山區,2023-05-27 14:21:15,景隆街105號(對面),11,1
385,YouBike2.0_興得閱覽室,24,1,文山區,2023-05-27 13:51:15,興隆路三段304巷145號,20,1
387,YouBike2.0_博嘉運動公園,12,1,文山區,2023-05-27 12:50:08,木柵路四段159巷16號,11,1
390,YouBike2.0_政大一街口,14,0,文山區,2023-05-27 12:44:04,政大一街19號對側,13,1
391,YouBike2.0_文山第二行政中心,30,2,文山區,2023-05-27 14:17:34,興隆路二段160-1號前,28,1
393,YouBike2.0_海巡署(南側),10,2,文山區,2023-05-27 13:52:15,興隆路三段211號對側(公車亭後),8,1
394,YouBike2.0_明道國小東南側,18,2,文山區,2023-05-27 13:06:16,興隆路四段109巷116號對側,16,1
397,YouBike2.0_師範大學公館校區_1,25,1,文山區,2023-05-27 13:58:15,師大公館校區校門口(汀州路側),24,1
398,YouBike2.0_捷運動物園站(2號出口),39,0,文山區,2023-05-27 14:21:04,新光路二段28號前,38,1
399,YouBike2.0_政大水岸電梯,10,2,文山區,2023-05-27 13:35:14,政治大學水岸電梯旁,8,1
400,YouBike2.0_敦南山林,14,1,文山區,2023-05-27 13:56:15,木柵路四段159巷16弄(社區出入口對側),13,1
401,YouBike2.0_辛亥路五段73巷口,13,1,文山區,2023-05-27 14:03:04,辛亥路五段75-1號前人行道,12,1
402,YouBike2.0_景美污水抽水站,15,2,文山區,2023-05-27 14:10:20,汀州路四段10號北側人行道,13,1
403,YouBike2.0_萬和三號公園(北側),13,3,文山區,2023-05-27 14:21:15,溪洲街107巷(公園北側),8,1
404,YouBike2.0_景興國中,10,2,文山區,2023-05-27 14:11:14,三福街4巷與景興路46巷口,8,1
405,YouBike2.0_景仁公園_1,15,3,文山區,2023-05-27 14:03:15,景仁街 / 羅斯福路六段142巷口(北側),11,1
406,YouBike2.0_師大公館校區學二舍,40,2,文山區,2023-05-27 14:19:14,臺灣師範大學學二舍西側人行道,36,1
408,YouBike2.0_萬興國小,16,2,文山區,2023-05-27 13:52:15,秀明路二段114號公車亭旁,14,1
409,YouBike2.0_辛亥路四段77巷口,14,0,文山區,2023-05-27 14:19:04,辛亥路四段77巷口,14,1
410,YouBike2.0_景興路42巷口,12,3,文山區,2023-05-27 14:15:15,景興路42巷與景興路口西南側,9,1
